,0
0,N1
1,N44
2,N46
3,N110
4,N119
5,N122
6,N135
7,N136
8,N172
9,N173
10,N178
11,N217
12,N222
13,N234
14,N253
15,N271
16,N274
17,N287
18,N299
19,N317
20,N320
21,N342
22,N348
23,N355
24,N379
25,N398
26,N403
27,N462
28,N464
29,N470
30,N484
31,N487
32,N489
33,N513
34,N517
35,N533
36,N592
37,N601
38,N614
39,N622
40,N632
41,N638
42,N640
43,N723
44,N735
45,N783
46,N802
47,N810
48,N839
49,N861
50,N864
51,N865
52,N867
53,N887
54,N906
55,N929
56,N956
57,N1000
58,N1006
59,N1020
60,N1033
61,N1056
62,N1061
63,N1081
64,N1097
65,N1098
66,N1114
67,N1116
68,N1152
69,N1182
70,N1186
71,N1192
72,N1194
73,N1197
74,N1220
75,N1222
76,N1244
77,N1272
78,N1354
79,N1382
80,N1436
81,N1469
82,N1471
83,N1484
84,N1497
85,N1526
86,N1539
87,N1563
88,N1570
89,N1604
90,N1635
91,N1673
92,N1678
93,N1684
94,N1754
95,N1774
96,N1775
97,N1778
98,N1779
99,N1781
100,N1791
101,N1813
102,N1872
103,N1909
104,N1951
105,N1956
106,N1967
107,N1974
108,N1975
109,N2005
110,N2017
111,N2046
112,N2093
113,N2132
114,N2142
115,N2185
116,N2197
117,N2253
118,N2255
119,N2266
120,2356
121,2364
122,2375
123,2376
124,2389
125,2396
126,2399
127,2452
128,2453
129,2460
130,2532
131,2537
132,2543
133,2596
134,2598
135,2603
136,2606
137,2616
138,2659
139,2690
140,2711
141,2730
142,2747
143,2753
144,2754
145,2778
146,2794
147,2803
148,2808
149,2813
150,2824
151,2857
152,2872
153,2890
154,2914
155,3012
156,3038
157,3048
158,3070
159,3098
160,3114
161,3137
162,3139
163,3150
164,3182
165,3186
166,3191
167,3193
168,3201
169,3220
170,3240
171,3280
172,3390
173,3429
174,3443
175,3473
176,3492
177,3528
178,3698
179,3735
180,3755
181,3788
182,3886
183,3915
184,3943
185,3966
186,4011
187,4021
188,4124
189,4136
190,4167
191,4200
192,4204
193,4213
194,4228
195,4253
196,4258
197,4285
198,4303
199,4325
200,4333
201,4353
202,4369
203,4396
204,4492
205,4496
206,4513
207,4547
208,4548
209,4587
210,4609
211,4616
212,4622
213,4632
214,4633
215,4639
216,4666
217,4671
218,4713
219,4752
220,4788
221,4819
222,4826
223,4851
224,4853
225,4902
226,4929
227,4934
228,4957
229,4970
230,4994
231,5010
232,5054
233,5064
234,5066
235,5084
236,5085
237,5093
238,5111
239,5113
240,5134
241,5173
242,5182
243,5192
244,5194
245,5199
246,5212
247,5221
248,5256
249,5280
